Timestamp,Trend Flags,Status,Value (°C)
09-Jan-25 12:45:00 AM WEST,{ },{ok},21.7
09-Jan-25 1:00:00 AM WEST,{ },{ok},21.6
09-Jan-25 1:15:00 AM WEST,{ },{ok},21.5
09-Jan-25 1:30:00 AM WEST,{ },{ok},20.4
09-Jan-25 1:45:00 AM WEST,{ },{ok},19.5
09-Jan-25 2:00:01 AM WEST,{ },{ok},19.1
09-Jan-25 2:15:01 AM WEST,{ },{ok},18.5
09-Jan-25 2:30:00 AM WEST,{ },{ok},18.7
09-Jan-25 2:45:00 AM WEST,{ },{ok},18.6
09-Jan-25 3:00:00 AM WEST,{ },{ok},18.4
09-Jan-25 3:15:00 AM WEST,{ },{ok},18.2
09-Jan-25 3:30:00 AM WEST,{ },{ok},18.5
09-Jan-25 3:45:00 AM WEST,{ },{ok},18.6
09-Jan-25 4:00:00 AM WEST,{ },{ok},18.2
09-Jan-25 4:15:01 AM WEST,{ },{ok},18.3
09-Jan-25 4:30:01 AM WEST,{ },{ok},18.6
09-Jan-25 4:45:01 AM WEST,{ },{ok},18.2
09-Jan-25 5:00:00 AM WEST,{ },{ok},18.2
09-Jan-25 5:15:01 AM WEST,{ },{ok},18.6
09-Jan-25 5:30:00 AM WEST,{ },{ok},18.2
09-Jan-25 5:45:01 AM WEST,{ },{ok},18.2
09-Jan-25 6:00:01 AM WEST,{ },{ok},18.6
09-Jan-25 6:15:00 AM WEST,{ },{ok},18.2
09-Jan-25 6:30:01 AM WEST,{ },{ok},18.3
09-Jan-25 6:45:00 AM WEST,{ },{ok},18.5
09-Jan-25 7:00:00 AM WEST,{ },{ok},18.1
09-Jan-25 7:15:00 AM WEST,{ },{ok},18.5
09-Jan-25 7:30:00 AM WEST,{ },{ok},19.8
09-Jan-25 7:45:00 AM WEST,{ },{ok},21.2
09-Jan-25 8:00:00 AM WEST,{ },{ok},21.5
09-Jan-25 8:15:00 AM WEST,{ },{ok},21.8
09-Jan-25 8:30:00 AM WEST,{ },{ok},22.0
09-Jan-25 8:45:01 AM WEST,{ },{ok},21.6
09-Jan-25 9:00:01 AM WEST,{ },{ok},21.5
09-Jan-25 9:15:00 AM WEST,{ },{ok},21.6
09-Jan-25 9:30:01 AM WEST,{ },{ok},21.5
09-Jan-25 9:45:01 AM WEST,{ },{ok},21.4
09-Jan-25 10:00:01 AM WEST,{ },{ok},21.4
09-Jan-25 10:15:00 AM WEST,{ },{ok},21.5
09-Jan-25 10:30:02 AM WEST,{ },{ok},21.7
09-Jan-25 10:45:01 AM WEST,{ },{ok},21.7
09-Jan-25 11:00:01 AM WEST,{ },{ok},21.7
09-Jan-25 11:15:00 AM WEST,{ },{ok},21.7
09-Jan-25 11:30:00 AM WEST,{ },{ok},21.5
