Timestamp,Trend Flags,Status,Value (kW)
10-Jan-25 7:15:00 AM WEST,{ },{ok},2.3
10-Jan-25 7:30:00 AM WEST,{ },{ok},3.2
10-Jan-25 7:45:03 AM WEST,{ },{ok},3.1
10-Jan-25 8:00:01 AM WEST,{ },{ok},0.3
10-Jan-25 8:15:01 AM WEST,{ },{ok},0.3
10-Jan-25 8:30:01 AM WEST,{ },{ok},0.3
10-Jan-25 8:45:00 AM WEST,{ },{ok},2.8
10-Jan-25 9:00:01 AM WEST,{ },{ok},2.9
10-Jan-25 9:15:03 AM WEST,{ },{ok},2.9
10-Jan-25 9:30:02 AM WEST,{ },{ok},0.3
10-Jan-25 9:45:01 AM WEST,{ },{ok},2.7
10-Jan-25 10:00:00 AM WEST,{ },{ok},0.3
10-Jan-25 10:15:01 AM WEST,{ },{ok},2.9
10-Jan-25 10:30:00 AM WEST,{ },{ok},5.6
10-Jan-25 10:45:02 AM WEST,{ },{ok},3.2
10-Jan-25 11:00:01 AM WEST,{ },{ok},0.3
10-Jan-25 11:15:01 AM WEST,{ },{ok},0.3
10-Jan-25 11:30:00 AM WEST,{ },{ok},0.3
10-Jan-25 11:45:01 AM WEST,{ },{ok},3.2
10-Jan-25 12:00:01 PM WEST,{ },{ok},3.3
10-Jan-25 12:15:01 PM WEST,{ },{ok},0.3
10-Jan-25 12:30:01 PM WEST,{ },{ok},2.9
10-Jan-25 12:45:00 PM WEST,{ },{ok},2.4
10-Jan-25 1:00:01 PM WEST,{ },{ok},3.3
10-Jan-25 1:15:00 PM WEST,{ },{ok},3.3
10-Jan-25 1:30:00 PM WEST,{ },{ok},2.9
10-Jan-25 1:45:00 PM WEST,{ },{ok},0.3
10-Jan-25 2:00:01 PM WEST,{ },{ok},5.9
10-Jan-25 2:15:01 PM WEST,{ },{ok},3.4
10-Jan-25 2:30:00 PM WEST,{ },{ok},2.9
10-Jan-25 2:45:00 PM WEST,{ },{ok},4.5
10-Jan-25 3:00:01 PM WEST,{ },{ok},0.3
10-Jan-25 3:15:01 PM WEST,{ },{ok},0.3
10-Jan-25 3:30:00 PM WEST,{ },{ok},5.3
10-Jan-25 3:45:02 PM WEST,{ },{ok},2.9
10-Jan-25 4:00:00 PM WEST,{ },{ok},5.3
10-Jan-25 4:15:01 PM WEST,{ },{ok},5.3
