history:GTC_Multisite_Inwi/BGU-ONE Active Power Clim;;;
;;;
Timestamp;Trend Flags;Status;Value (kW)
28-Dec-24 2:45:00 AM WEST;{ };{ok};3.5
28-Dec-24 3:00:00 AM WEST;{ };{ok};3.5
28-Dec-24 3:15:00 AM WEST;{ };{ok};0.3
28-Dec-24 3:30:00 AM WEST;{ };{ok};0.3
28-Dec-24 3:45:01 AM WEST;{ };{ok};0.3
28-Dec-24 4:00:01 AM WEST;{ };{ok};3.5
28-Dec-24 4:15:00 AM WEST;{ };{ok};0.3
28-Dec-24 4:30:00 AM WEST;{ };{ok};3.5
28-Dec-24 4:45:01 AM WEST;{ };{ok};0.3
28-Dec-24 5:00:00 AM WEST;{ };{ok};3.5
28-Dec-24 5:15:00 AM WEST;{ };{ok};0.3
